기준년도,학교명,본분교명,설립유형,전임교원 1인당 연구비(교내),전임교원 1인당 연구비(교외)
2009,한중대학교,본교,사립,0.0,0.0
2009,협성대학교,본교,사립,1860.5,20086.1
2009,호남대학교,본교,사립,504.2,12170.6
2009,호남신학대학교,본교,사립,3593.1,607.0
2009,호서대학교,본교,사립,10812.4,40108.6
2009,호원대학교,본교,사립,242.8,774.3
2009,홍익대학교,본교,사립,3901.5,20824.6
2009,화신사이버대학교,본교,사립,0.0,0.0
2010,가천의과학대학교,본교,사립,681.8,39319.4
2010,가톨릭대학교,본교,사립,5606.3,37738.5
2010,감리교신학대학교,본교,사립,0.0,757.4
2010,강남대학교,본교,사립,2006.9,9043.6
2010,강서대학교,본교,사립,1639.5,1162.8
2010,건국대학교,본교,사립,6912.3,97979.0
2010,건동대학교,본교,사립,0.0,8933.0
2010,건양대학교,본교,사립,129.0,14295.7
2010,경기대학교,본교,사립,3234.6,30346.3
